key	definitions	type	instances	example
x-ms-trigger	1	string	8	[swagger.yaml](https://raw.githubusercontent.com/juliensobrier/browshot-api-spec/master/browshot.yaml)
x-ms-visibility	1	string	6	[swagger.yaml](https://raw.githubusercontent.com/juliensobrier/browshot-api-spec/master/browshot.yaml)
x-oauthpermissions	1	object	16	[swagger.yaml](https://raw.githubusercontent.com/square/connect-api-specification/master/api.json)
x-oneOf	1	object	2	[swagger.yaml](https://raw.githubusercontent.com/Mermade/openC4/master/c4Api/swagger.json)
x-operation-settings	1	object	66	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
x-radar-pages	1	object	1	[swagger.yaml](https://bitbucket.org/api/swagger.json)
x-release	1	string	1	[swagger.yaml](https://raw.githubusercontent.com/Mermade/bbcparse/master/iblApi/swagger.json)
x-resource-location	1	string	1	[swagger.yaml](https://wikimedia.org/api/rest_v1/?spec)
x-revision	1	string	1	[swagger.yaml](https://bitbucket.org/api/swagger.json)
x-runscope/nullable	1	boolean	1	[swagger.yaml](https://raw.githubusercontent.com/NYTimes/public_api_specs/master/most_popular_api/most_popular_api_v2.json)
x-runscope/nullable/value	1	string	1	[swagger.yaml](https://raw.githubusercontent.com/NYTimes/public_api_specs/master/most_popular_api/most_popular_api_v2.json)
x-schema-id	1	string	1	[swagger.yaml](https://raw.githubusercontent.com/Mermade/bbcparse/master/iblApi/swagger.json)
x-sq-sdk-sample-code	1	object	30	[swagger.yaml](https://raw.githubusercontent.com/square/connect-api-specification/master/api.json)
x-testValue	1	string	1	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
x-type	1	string	1	[swagger.yaml](http://developers.ijenko.com/swagger.json)
x-unitTests	1	object	66	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
