key	definitions	type	instances	example
x-amazon-apigateway-auth	5	object	9	https://raw.githubusercontent.com/warnergodfrey/lambda-clj-example/master/resources/swagger.json
x-go-package	5	string	17	https://raw.githubusercontent.com/vjeantet/bitfan/master/api/swagger.json
x-is-map	5	boolean	388	D:\nodejs\openapi-definitions\Yammer\swagger.json
x-mojo-around-action	5	string	5	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger/swagger.json
x-ms-client-request-id	5	boolean	292	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-search/2015-08-19/swagger/search.json
x-ms-parameter-grouping	5	object	1857	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-search/2015-08-19/swagger/search.json
x-summary	5	string	5	https://raw.githubusercontent.com/philip/mysqlcs-rest-client-php/master/swagger.yaml
x-tagGroups	5	object	5	https://raw.githubusercontent.com/TwineHealth/TwineDeveloperDocs/master/spec/swagger.yaml
x-volos-authorizations	5	object	5	https://raw.githubusercontent.com/WWitman/swagger-node/master/test/commands/project/badswagger.yaml
x-example	4	multiple	123	https://raw.githubusercontent.com/xerions/phoenix_swagger/master/examples/simple/priv/static/swagger.json
x-ms-discriminator-value	4	string	65	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-recoveryservicesbackup/2016-06-01/swagger/recoveryservicesbackup.json
x-ms-examples	4	object	61	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-sql/2014-04-01/swagger/sql.core.json
x-ms-request-id	4	string	291	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/batch/2016-07-01.3.1/swagger/BatchService.json
x-pattern	4	string	29	https://raw.githubusercontent.com/aws/aws-sdk-js/master/apis/elasticmapreduce-2009-03-31.normal.json
x-ApiType	3	string	3	https://raw.githubusercontent.com/Avalara/developer-dot/master/dynamic/swagger/trustfile/connector-microservice/swagger.yaml
x-amples	3	object	8	https://wikimedia.org/api/rest_v1/?spec
x-anyOf	3	object	21	https://raw.githubusercontent.com/Mermade/bbcparse/master/nitroApi/swagger.json
x-body	3	object	8	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
x-category	3	string	34	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
x-consoleDefault	3	string	5	https://raw.githubusercontent.com/NYTimes/public_api_specs/master/timeswire/timeswire_v3.json
x-expires	3	object	5	https://raw.githubusercontent.com/whitef0x0/tellform/master/public/swagger.json
x-mojo-controller	3	string	31	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger.json
x-ms-activity-id	3	object	3	https://raw.githubusercontent.com/HEDIDIN/DocumentDB-REST/master/swagger.json
x-ms-continuation	3	object	3	https://raw.githubusercontent.com/HEDIDIN/DocumentDB-REST/master/swagger.json
x-ms-item-count	3	object	3	https://raw.githubusercontent.com/HEDIDIN/DocumentDB-REST/master/swagger.json
x-ms-request-charge	3	object	3	https://raw.githubusercontent.com/HEDIDIN/DocumentDB-REST/master/swagger.json
x-ms-session-token	3	object	3	https://raw.githubusercontent.com/HEDIDIN/DocumentDB-REST/master/swagger.json
x-primitives	3	object	3	https://raw.githubusercontent.com/Koha-Community/Koha/master/api/v1/swagger/swagger.json
x-revision	3	string	3	https://bitbucket.org/api/swagger.json
x-servers	3	object	3	http://zappiti.com/api/zappiti-player-4k/swagger/swagger.yaml
x-a127-authorizations	2	object	8	https://raw.githubusercontent.com/giuseppezileni/openagri-a127/master/node_modules/a127-magic/node_modules/volos-swagger/test/support/swagger.yaml
x-amazon-apigateway-any-method	2	object	6	https://raw.githubusercontent.com/tmaiaroto/aegis/master/apigateway/example_swagger.json
x-annotations	2	object	370	D:\nodejs\openapi-definitions\mashery\api.penton.com\Price-Digest-V1\1\swagger.json
x-any	2	object	2	https://raw.githubusercontent.com/STRML/json-to-flow/master/test/swagger.json
x-auth-type	2	string	7	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-authroization-operation-id	2	string	2	https://raw.githubusercontent.com/deefactorial/openmoney-api/master/api/swagger/swagger.yaml
x-codegen-settings	2	object	2	https://raw.githubusercontent.com/suggestgrid/suggestgrid-ruby/master/spec/swagger.yaml
x-copyright	2	string	2	https://raw.githubusercontent.com/blox/blox/dev/daemon-scheduler/swagger/v1/swagger.json
x-description	2	string	2	https://raw.githubusercontent.com/netmilk-canary/apiary-swagger-demo/master/swagger.yaml
x-docs-text	2	string	10	https://raw.githubusercontent.com/suggestgrid/suggestgrid-ruby/master/spec/swagger.yaml
x-events	2	object	2	https://raw.githubusercontent.com/varunr047/homefile/dev/docs/swagger.yaml
x-extensionName3	2	string	2	https://raw.githubusercontent.com/kongchen/swagger-maven-plugin/master/src/test/resources/expectedOutput/swagger.json
x-fields	2	object	2	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
x-firstExtension	2	object	2	https://raw.githubusercontent.com/kongchen/swagger-maven-plugin/master/src/test/resources/expectedOutput/swagger.json
