key	definitions	type	instances	example
x-extensionName3	2	string	2	https://raw.githubusercontent.com/kongchen/swagger-maven-plugin/master/src/test/resources/expectedOutput/swagger.json
x-fields	2	object	2	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
x-firstExtension	2	object	2	https://raw.githubusercontent.com/kongchen/swagger-maven-plugin/master/src/test/resources/expectedOutput/swagger.json
x-handler	2	string	2	https://raw.githubusercontent.com/levidobson/userform/master/build/backend/config/swagger.yaml
x-hasEquivalentPaths	2	boolean	2	https://raw.githubusercontent.com/APIs-guru/unofficial_openapi_specs/master/github.com/v3/swagger.yaml
x-issuer	2	string	3	https://raw.githubusercontent.com/thefuture2092/trackdidia/master/backend/echo-v1_swagger.json
x-jwks_uri	2	string	3	https://raw.githubusercontent.com/thefuture2092/trackdidia/master/backend/echo-v1_swagger.json
x-mediation-script	2	string	9	https://raw.githubusercontent.com/wso2/wso2-qa-artifacts/master/products/wso2_APIManager/product_features/publisher/manage_apis/api_resources/url_mappings/v1100/urlMappings1/url_mapping_swagger.json
x-methods	2	object	10	https://raw.githubusercontent.com/suggestgrid/suggestgrid-ruby/master/spec/swagger.yaml
x-name	2	string	130	https://raw.githubusercontent.com/go-swagger/go-swagger/master/fixtures/canary/quay.io/swagger.json
x-next	2	object	2	https://raw.githubusercontent.com/swagger-rb/swagger-rb/master/spec/fixtures/swagger.yaml
x-path	2	string	130	https://raw.githubusercontent.com/go-swagger/go-swagger/master/fixtures/canary/quay.io/swagger.json
x-query	2	object	2	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
x-revel-controller-action	2	string	12	https://raw.githubusercontent.com/waiteb3/swaggerify/master/examples/swaggerapi/conf/swagger/swagger.json
x-revision	2	string	2	https://raw.githubusercontent.com/mission-liao/pyswagger/master/pyswagger/tests/data/v2_0/bitbucket/swagger.json
x-security	2	object	4	https://raw.githubusercontent.com/thefuture2092/trackdidia/master/backend/echo-v1_swagger.json
x-tag	2	string	130	https://raw.githubusercontent.com/go-swagger/go-swagger/master/fixtures/canary/quay.io/swagger.json
x-token-operation-id	2	string	8	https://raw.githubusercontent.com/deefactorial/openmoney-api/master/api/swagger/swagger.yaml
x-traitTag	2	boolean	2	https://raw.githubusercontent.com/Rebilly/SwaggerTemplateRepo/master/spec/swagger.yaml
x-volos-test	2	object	2	https://raw.githubusercontent.com/giuseppezileni/openagri-a127/master/node_modules/a127-magic/test/api/swagger/swagger.yaml
x-accessUrl	1	string	1	https://raw.githubusercontent.com/rogeraaut/rogeraaut.github.io/master/wpasecms.swagger.json
x-alternate-versions	1	object	102	https://raw.githubusercontent.com/antihax/swagger-esi-goclient/master/latest/swagger.json
x-amazon-apigateway-authorizer	1	object	1	https://raw.githubusercontent.com/byu-oit-appdev/iac/master/cloudformation/api-gateway/swagger.yaml
x-amazon-apigateway-binary-media-types	1	object	1	https://raw.githubusercontent.com/tmaiaroto/aegis/master/apigateway/example_swagger.json
x-api-first-package	1	string	1	https://raw.githubusercontent.com/zalando/play-swagger/master/swagger-tester/conf/swagger.yaml
x-apih-advice	1	object	14	https://raw.githubusercontent.com/ErikWittern/swagger-snippet/master/test/watson_alchemy_language_swagger.json
x-apih-ghusage	1	object	1	https://raw.githubusercontent.com/ErikWittern/swagger-snippet/master/test/watson_alchemy_language_swagger.json
x-apih-id	1	string	1	https://raw.githubusercontent.com/ErikWittern/swagger-snippet/master/test/watson_alchemy_language_swagger.json
x-apih-relationships	1	object	1	https://raw.githubusercontent.com/ErikWittern/swagger-snippet/master/test/watson_alchemy_language_swagger.json
x-apih-sdks	1	object	1	https://raw.githubusercontent.com/ErikWittern/swagger-snippet/master/test/watson_alchemy_language_swagger.json
x-apis	1	object	1	https://raw.githubusercontent.com/prestonvanloon/swagger-aggregator/master/test/swagger.yaml
x-azure-api-id	1	string	1	https://raw.githubusercontent.com/HEDIDIN/DocumentDB-REST/master/swagger.json
x-barrel-deleted	1	object	1	https://raw.githubusercontent.com/barrel-db/barrel-platform/master/apps/barrel_http/priv/swagger/swagger.yaml
x-barrel-revisions-id	1	object	1	https://raw.githubusercontent.com/barrel-db/barrel-platform/master/apps/barrel_http/priv/swagger/swagger.yaml
x-bookmark-id	1	string	1	https://raw.githubusercontent.com/docascode/docfx-seed/master/restapi/petstore.swagger.json
x-cached-seconds	1	number	82	https://raw.githubusercontent.com/antihax/swagger-esi-goclient/master/latest/swagger.json
x-controller	1	string	4	https://raw.githubusercontent.com/51seven/swagspress/master/test/app/swagger.json
x-controller-interface	1	string	5	https://raw.githubusercontent.com/theganyo/swagger-node-runner/master/test/assets/project/api/swagger/swagger.yaml
x-cors	1	object	1	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger/swagger.json
x-cors-access-control-allow-credentials	1	string	1	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger/swagger.json
x-cors-access-control-allow-methods	1	string	1	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger/swagger.json
x-cors-access-control-allow-origin-list	1	string	1	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger/swagger.json
x-cors-access-control-max-age	1	string	1	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger/swagger.json
x-cumulus-commands	1	object	1	https://raw.githubusercontent.com/mslocrian/cuview/master/definitions/swagger.json
x-cumulus-options	1	object	3	https://raw.githubusercontent.com/mslocrian/cuview/master/definitions/swagger.json
x-draftorder	1	object	1	https://raw.githubusercontent.com/andrewjtech123/rebilly-validschema/master/swagger.json
x-dynamicEnum	1	object	44	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-enumLabels	1	object	2841	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-enumType	1	string	2868	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-enums	1	object	1	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-exclude_fields	1	object	1	https://raw.githubusercontent.com/prestonvanloon/swagger-aggregator/master/test/swagger.yaml
x-exclude_paths	1	object	1	https://raw.githubusercontent.com/prestonvanloon/swagger-aggregator/master/test/swagger.yaml
x-extendedDiscriminator	1	string	2	https://raw.githubusercontent.com/andrewjtech123/rebilly-validschema/master/test/swagger.yaml
x-global	1	boolean	1	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-group	1	string	14948	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-gulp-swagger-codegen-outcome	1	string	5	https://raw.githubusercontent.com/steve-gray/swagger-codegen/master/tests/output-tests/standard-suite/swagger.yaml
x-hidden	1	boolean	1	https://raw.githubusercontent.com/theganyo/swagger-node-runner/master/test/assets/project/api/swagger/swagger.yaml
x-ibm-configuration	1	object	1	https://raw.githubusercontent.com/amargendie/poc-swagger-middleware/master/samples/swagger.yaml
x-ibm-name	1	string	1	https://raw.githubusercontent.com/amargendie/poc-swagger-middleware/master/samples/swagger.yaml
x-info	1	object	1	https://raw.githubusercontent.com/AdamBien/headlands/master/headlands/src/main/webapp/swagger.json
x-inputType	1	string	148	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-internal-id	1	string	36	https://raw.githubusercontent.com/philip/mysqlcs-rest-client-php/master/swagger.yaml
x-koha-hack	1	object	1	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger/swagger.json
x-koha-permission	1	object	22	https://raw.githubusercontent.com/KohaSuomi/kohasuomi/kohasuomi3.16/api/v1/swagger.json
x-lucy/readme	1	string	1	https://raw.githubusercontent.com/lucybot/lucy-console/static-site/swagger.json
x-lucy/summary	1	string	1	https://raw.githubusercontent.com/lucybot/lucy-console/static-site/swagger.json
x-lucy/view	1	string	5	https://raw.githubusercontent.com/lucybot/lucy-console/static-site/swagger.json
x-message	1	object	1	https://raw.githubusercontent.com/AdamBien/headlands/master/headlands/src/main/webapp/swagger.json
x-meta-total	1	object	2	https://raw.githubusercontent.com/vietthang/hapi-boilerplate/master/src/schemas/api.swagger.yaml
x-ms-client-flatten	1	boolean	6	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-compute/quickstart-templates/swagger.json
x-ms-client-name	1	string	2	https://raw.githubusercontent.com/NiklasGustafsson/vscode-swagger/master/swaggerpreview/samples/minswagger.json
x-ms-doc-id	1	object	4	https://raw.githubusercontent.com/jeffhollan/docdb-connector/master/resources/swagger.json
x-ms-enum	1	object	1	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-compute/quickstart-templates/swagger.json
x-ms-global	1	boolean	1	https://raw.githubusercontent.com/NiklasGustafsson/vscode-swagger/master/swaggerpreview/samples/minswagger.json
x-ms-long-running-operation	1	boolean	1	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-compute/quickstart-templates/swagger.json
x-ms-summary	1	string	34	https://raw.githubusercontent.com/jeffhollan/docdb-connector/master/resources/swagger.json
x-ms-visibility	1	string	2	https://raw.githubusercontent.com/jeffhollan/docdb-connector/master/resources/swagger.json
x-no-doc	1	object	8	https://raw.githubusercontent.com/omnypay/omnypay-platform-api/master/spec/swagger.yaml
x-oauth1	1	boolean	1	https://raw.githubusercontent.com/rogeraaut/rogeraaut.github.io/master/wpasecms.swagger.json
x-operation-settings	1	object	9	https://raw.githubusercontent.com/SlvrEagle23/AzuraCast/master/swagger.yaml
x-parameterGroups	1	object	293	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-plugin	1	string	57	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-priority	1	number	1	https://raw.githubusercontent.com/philip/mysqlcs-rest-client-php/master/swagger.yaml
x-private	1	boolean	1	https://raw.githubusercontent.com/theganyo/swagger-node-runner/master/test/assets/project/api/swagger/swagger.yaml
x-remove-me	1	string	1	https://raw.githubusercontent.com/theganyo/swagger-node-runner/master/test/assets/project/api/swagger/swagger.yaml
x-required-role	1	multiple	9	https://raw.githubusercontent.com/arcana261/SaladioBackEnd/master/api/swagger/swagger.yaml
x-schema-form	1	object	27	https://raw.githubusercontent.com/RetailMeNotSandbox/dart/master/src/python/dart/web/api/swagger.yaml
x-scope	1	string	33	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-servers	1	object	1	https://raw.githubusercontent.com/Rebilly/ReDoc/master/demo/swagger.yaml
x-serviceName	1	string	1	https://www.googleapis.com/discovery/v1/apis/blogger/v3/rest
x-showCondition	1	object	9026	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-silex	1	object	3	https://raw.githubusercontent.com/RackDeploy/silex-base-api/master/config/swagger.yaml
x-states	1	object	9	https://raw.githubusercontent.com/maartenvanheek/rebelapi/master/src/main/webapp/swagger.yaml
x-swagger-magic-invalidateTokenUrl	1	string	1	https://raw.githubusercontent.com/phaneendra/stinter-web/master/src/api/swagger/swagger.yaml
x-swagger-magic-social	1	object	1	https://raw.githubusercontent.com/phaneendra/stinter-web/master/src/api/swagger/swagger.yaml
x-taskAlgo	1	string	1	https://raw.githubusercontent.com/chaliy/ner-ms/master/src/swagger.yaml
x-taskClass	1	string	1	https://raw.githubusercontent.com/chaliy/ner-ms/master/src/swagger.yaml
x-taskModel	1	string	1	https://raw.githubusercontent.com/chaliy/ner-ms/master/src/swagger.yaml
x-test	1	string	1	https://raw.githubusercontent.com/mpoiriert/swagger/master/tests/fixture/schema/swagger.json
x-throttling-policy	1	string	2	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-throttling-tier	1	string	5	https://raw.githubusercontent.com/dbopendata/db-fasta-api-java-client/master/client/src/main/resources/FaSta-Station_Facilities_Status/v1/swagger.json
x-unitTests	1	object	3	https://raw.githubusercontent.com/SlvrEagle23/AzuraCast/master/swagger.yaml
x-values	1	object	3	https://raw.githubusercontent.com/wcatron/ionic-cloud-sdk-php/master/src/API/versions/2.0.0-beta.0/push/swagger.json
x-wso2-curl	1	string	33	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-wso2-request	1	string	33	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-wso2-response	1	string	33	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-wso2-scopes	1	object	1	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-wso2-security	1	object	1	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
