key	definitions	type	instances	example
x-base	1	object	1	https://api.swaggerhub.com/apis/jshartshorn/cicd-api/1.0.0
x-baseType	1	string	14	https://api.swaggerhub.com/apis/rimoe/TM1Rest/10.2.2.6
x-bbStringMaxLengthTrim	1	boolean	1	https://api.swaggerhub.com/apis/dchristopherson/CN_redesign_admin/1.0.0
x-bbStringWhitespace	1	string	1	https://api.swaggerhub.com/apis/dchristopherson/CN_redesign_admin/1.0.0
x-body-types	1	object	3	https://api.swaggerhub.com/apis/claylo/Smartsheet/2.0.0
x-brandSiloSupported	1	string	1	https://api.swaggerhub.com/apis/preeth.g/pushregistration/1
x-build-version	1	string	1	https://api.swaggerhub.com/apis/tsz662/petstore/1.0.0
x-businessOwner	1	object	1	https://api.swaggerhub.com/apis/preeth.g/pushregistration/1
x-byu-api-type	1	string	2	https://api.swaggerhub.com/apis/mhailstone/students/v1
x-camelContextId	1	string	2	https://api.swaggerhub.com/apis/royzhu/account-system/0.0.1
x-cca-property-hint	1	string	126	https://api.swaggerhub.com/apis/tiscca/EndCustomerApi/0.1.11
x-className	1	object	1	https://api.swaggerhub.com/apis/royzhu/account-system/0.0.1
x-client	1	object	1	https://api.swaggerhub.com/apis/vmfernandez/your-api/3.0.0
x-client-cert	1	object	2	https://api.swaggerhub.com/apis/serge.lassabe/RCU/1.0
x-cloud-resource-created	1	object	6	https://api.swaggerhub.com/apis/swladyka/your-api/1.0.0
x-cloud-resource-last-modified	1	object	6	https://api.swaggerhub.com/apis/swladyka/your-api/1.0.0
x-cloud-resource-version	1	object	6	https://api.swaggerhub.com/apis/swladyka/your-api/1.0.0
x-comment	1	string	1	https://api.swaggerhub.com/apis/JurgenDevlieghere/Splitvice/0.2
x-consoleDefault	1	string	4	https://api.swaggerhub.com/apis/vjernelov/fhir_validation_test/0.0.1
x-cors	1	object	1	https://api.swaggerhub.com/apis/kivilahtio/PatronStore/1.0.0
x-cors-access-control-allow-credentials	1	boolean	1	https://api.swaggerhub.com/apis/kivilahtio/PatronStore/1.0.0
x-cors-access-control-allow-methods	1	string	1	https://api.swaggerhub.com/apis/kivilahtio/PatronStore/1.0.0
x-cors-access-control-allow-origin-list	1	string	1	https://api.swaggerhub.com/apis/kivilahtio/PatronStore/1.0.0
x-cors-access-control-max-age	1	number	1	https://api.swaggerhub.com/apis/kivilahtio/PatronStore/1.0.0
x-count	1	object	2	https://api.swaggerhub.com/apis/Wildberries/WbQuestionsService/1.0.0
x-def	1	object	1	https://api.swaggerhub.com/apis/melnik13/MaitreD/1.0.0
x-definition-document	1	string	1	https://api.swaggerhub.com/apis/zerocaps/zerocaps-test1/0.0.6
x-definitions	1	object	1	https://api.swaggerhub.com/apis/helen/report-api/1.0
x-delegate	1	string	1	https://api.swaggerhub.com/apis/jkirbyjr/catalog/v1
x-docs-anchor	1	string	34	https://api.swaggerhub.com/apis/loganvolkers/referral-saa_squatch_rest_api_reference/1.0.0
x-domain	1	string	1	https://api.swaggerhub.com/apis/preeth.g/pushregistration/1
x-ds-methodname	1	string	221	https://api.swaggerhub.com/apis/srtucker/DocuSign/1
x-ds-service	1	string	221	https://api.swaggerhub.com/apis/srtucker/DocuSign/1
x-endpoint-description	1	string	1	https://api.swaggerhub.com/apis/ryvn/Lifttest/1.0.0
x-endpoint-ismultirow	1	boolean	1	https://api.swaggerhub.com/apis/ryvn/Lifttest/1.0.0
